EmployeeID,FirstName,LastName,Age,Department,JobTitle,Salary,DateHired,LastPromotionDate,PerformanceScore,Absences,EducationLevel,EmployeeSatisfaction
1074,William,Wade,36,IT,Software Engineer,71165.0,2019-11-23,,5.0,14.0,Associates Degree,4
1075,Tasha,Jones,42,Marketing,Software Engineer,,2019-11-06,2022-04-19,5.0,18.0,Master,5
1076,William,Walker,28,IT,Data Analyst,69530.0,2019-01-01,2022-01-21,2.0,15.0,Master,2
1077,Michelle,Ellison,33,HR,HR Manager,48971.0,2018-10-08,,,,Master,1
1078,James,Hoover,44,Marketing,Software Engineer,69490.0,2021-08-08,2021-07-15,1.0,15.0,High School Diploma,4
1079,Christopher,Lewis,29,Sales,Marketing Specialist,49316.0,2023-04-25,,3.0,11.0,PhD,2
1080,Amy,Ellison,49,IT,Data Analyst,77215.0,2021-05-13,,3.0,13.0,High School Diploma,2
1081,Jason,Smith,37,Sales,HR Manager,74022.0,2019-12-06,,3.0,0.0,Master,2
1082,Christina,,26,HR,Software Engineer,,2023-03-07,2023-02-10,2.0,18.0,Associates Degree,4
1083,Ann,Hutchinson,31,HR,Marketing Specialist,58656.0,2023-01-10,,,20.0,PhD,4
1084,Marc,Alexander,38,Marketing,Sales Executive,52676.0,2020-03-15,2023-09-29,3.0,5.0,High School Diploma,1
1085,Priscilla,Alvarez,46,Marketing,Software Engineer,77787.0,2022-02-05,2022-02-21,1.0,,No Diploma,4
1086,William,Dixon,47,Marketing,Data Analyst,87777.0,2021-07-26,,5.0,4.0,PhD,2
1087,Ryan,,47,Marketing,Data Analyst,57070.0,2023-04-03,,4.0,0.0,No Diploma,5
1088,Kimberly,English,40,Sales,Sales Executive,,2021-04-17,,3.0,4.0,Master,1
1089,Chad,Hudson,25,IT,Data Analyst,,2020-11-12,2021-11-22,4.0,13.0,Bachelor,1
1090,James,,43,IT,HR Manager,73492.0,2021-07-03,,1.0,10.0,No Diploma,2
1091,Kristy,Brown,42,IT,HR Manager,48867.0,2021-11-18,2023-02-07,,8.0,PhD,4
1092,Isaac,Medina,33,Sales,Marketing Specialist,42967.0,2020-10-13,,2.0,17.0,Master,2
1093,Lee,Acosta,35,IT,HR Manager,41900.0,2023-04-01,,2.0,7.0,High School Diploma,1
1094,Ashley,Johnson,38,Marketing,HR Manager,79477.0,2019-02-16,2021-11-05,1.0,16.0,Master,5
1095,Cole,Hill,53,Sales,Software Engineer,76743.0,2018-08-19,,5.0,8.0,High School Diploma,2
1096,David,Kidd,50,HR,Sales Executive,64814.0,2020-02-17,,1.0,1.0,Bachelor,4
1097,Kim,Kerr,48,IT,Sales Executive,,2022-12-09,,4.0,19.0,Bachelor,1
1098,Douglas,Rojas,50,IT,Data Analyst,,2022-08-23,2021-11-06,4.0,,No Diploma,4
1099,Douglas,Smith,52,IT,Marketing Specialist,85424.0,2020-10-01,,2.0,,No Diploma,1
1100,Emily,Moreno,49,Marketing,Data Analyst,,2019-11-20,2021-08-20,1.0,9.0,Associates Degree,4
1101,Valerie,Lindsey,40,Marketing,Data Analyst,47878.0,2020-04-29,2022-12-26,2.0,15.0,No Diploma,2
1102,Jessica,Reeves,45,Marketing,Sales Executive,44681.0,2020-08-01,2022-06-06,,19.0,PhD,5
1103,Andrew,Williams,59,IT,Software Engineer,65550.0,2022-08-30,,3.0,0.0,High School Diploma,1
1104,Nicole,Brown,33,IT,Sales Executive,,2022-07-28,2023-05-28,2.0,17.0,Bachelor,1
1105,Michael,Lopez,25,IT,Data Analyst,82756.0,2021-11-18,2023-04-14,1.0,0.0,High School Diploma,5
1106,Kimberly,Johnson,55,IT,Marketing Specialist,62826.0,2020-03-26,2021-08-19,3.0,4.0,High School Diploma,3
1107,Shelby,Malone,30,IT,Data Analyst,40001.0,2018-09-13,,3.0,11.0,PhD,1
1108,Ronald,,39,Sales,Software Engineer,74974.0,2021-03-29,2023-02-11,1.0,,Master,1
1109,Scott,,51,IT,Data Analyst,46104.0,2018-05-28,2021-10-27,4.0,19.0,Master,1
1110,Kathy,Cooper,54,Marketing,Marketing Specialist,48470.0,2019-05-13,,5.0,7.0,No Diploma,2
1111,Amy,Bradley,27,IT,Data Analyst,59720.0,2023-01-21,2021-12-05,4.0,15.0,Bachelor,5
1112,Phillip,Lester,27,Sales,Sales Executive,59337.0,2021-10-27,2021-08-30,1.0,4.0,Master,2
1113,Veronica,Garcia,37,Marketing,HR Manager,46293.0,2022-05-29,,4.0,12.0,Master,2
1114,Carl,Williams,60,IT,Sales Executive,77644.0,2018-12-12,,4.0,2.0,No Diploma,5
1115,Lucas,Madden,56,IT,Data Analyst,60245.0,2020-10-24,,3.0,18.0,Associates Degree,3
1116,Michael,Rodriguez,29,IT,Sales Executive,44260.0,2021-03-11,2023-08-10,2.0,19.0,Associates Degree,2
1117,Sandra,Wilkerson,38,HR,Sales Executive,64774.0,2022-01-31,,,7.0,High School Diploma,3
1118,Kristin,Jackson,57,IT,Data Analyst,77801.0,2022-03-28,2022-11-30,,8.0,Associates Degree,4
1119,Kara,Hays,54,HR,Marketing Specialist,62126.0,2023-05-27,,4.0,2.0,Associates Degree,4
1120,Laura,Thomas,35,Sales,Sales Executive,49990.0,2018-08-14,2022-03-10,1.0,20.0,No Diploma,3
1121,Lauren,Stuart,56,Marketing,Software Engineer,45209.0,2019-09-01,,4.0,8.0,High School Diploma,1
1122,Tanya,Barber,41,IT,Sales Executive,65030.0,2020-03-31,,2.0,9.0,High School Diploma,2
1123,Stanley,Kim,45,Marketing,HR Manager,68836.0,2023-03-25,,4.0,12.0,No Diploma,5
1124,Thomas,Taylor,26,IT,Sales Executive,54980.0,2020-04-01,,2.0,18.0,No Diploma,2
1125,Gerald,Martinez,37,Marketing,HR Manager,68439.0,2022-09-29,2022-08-16,2.0,2.0,High School Diploma,4
1126,Stephanie,Hoover,53,Marketing,Data Analyst,41471.0,2019-04-12,2021-09-19,4.0,,PhD,4
1127,Timothy,,59,Sales,Data Analyst,65253.0,2022-02-05,,2.0,,No Diploma,2
1128,Joseph,Carr,32,Sales,Sales Executive,,2021-04-28,2023-07-28,2.0,,Bachelor,2
1129,Harold,Hernandez,51,HR,Data Analyst,55850.0,2020-11-26,,1.0,11.0,PhD,5
1130,Jamie,Jenkins,52,Marketing,Marketing Specialist,76182.0,2020-11-26,2023-01-30,1.0,11.0,PhD,5
1131,Joel,Jacobs,34,Sales,HR Manager,54101.0,2022-12-03,2022-07-10,2.0,6.0,No Diploma,1
1132,Amy,Hayes,42,IT,Data Analyst,75376.0,2018-12-04,,1.0,4.0,PhD,1
1133,Christopher,,54,Sales,Marketing Specialist,85744.0,2021-09-22,,2.0,,PhD,4
1134,Christian,Landry,33,HR,Sales Executive,55677.0,2020-09-20,2021-07-28,4.0,11.0,High School Diploma,3
1135,Alexa,Friedman,55,HR,Sales Executive,87076.0,2019-06-23,2023-07-18,3.0,11.0,Master,5
1136,Micheal,Sanchez,49,HR,Sales Executive,68610.0,2022-10-02,,4.0,4.0,Bachelor,4
1137,Jessica,Johnson,25,IT,Sales Executive,,2022-04-10,2022-12-14,1.0,15.0,High School Diploma,2
1138,Morgan,Dominguez,36,HR,HR Manager,89568.0,2022-11-26,,1.0,16.0,Bachelor,5
1139,William,Ayers,33,Marketing,Software Engineer,60650.0,2020-04-21,,2.0,7.0,No Diploma,2
1140,Roy,Landry,38,HR,Software Engineer,67954.0,2020-09-30,2022-09-25,2.0,,Master,1
1141,Sarah,Mason,49,IT,Marketing Specialist,78104.0,2020-02-20,2022-05-04,1.0,2.0,High School Diploma,1
1142,Mary,Ford,42,Marketing,Sales Executive,72707.0,2019-05-08,,,20.0,Bachelor,3
1143,Robert,Moody,43,HR,HR Manager,57483.0,2022-01-31,,,13.0,PhD,3
1144,Jeanne,,49,IT,Data Analyst,69716.0,2021-07-10,2021-11-12,4.0,16.0,Associates Degree,5
1145,Matthew,George,39,Marketing,Sales Executive,71505.0,2020-04-12,2023-07-15,3.0,9.0,Master,5
1146,Jared,Evans,33,HR,Software Engineer,58513.0,2023-02-02,,2.0,17.0,Associates Degree,3
1147,Mary,,33,IT,HR Manager,49394.0,2020-04-13,2022-07-06,1.0,11.0,PhD,3
1148,Jack,Randolph,47,HR,Marketing Specialist,45919.0,2018-12-05,,5.0,8.0,High School Diploma,2
1149,Sarah,Case,58,IT,Sales Executive,88501.0,2021-02-09,2022-08-26,1.0,0.0,High School Diploma,4
1150,Henry,Escobar,28,HR,Software Engineer,80462.0,2020-08-27,,2.0,11.0,Master,4
1151,Julie,Stephens,38,IT,HR Manager,43227.0,2021-07-23,2023-09-08,5.0,11.0,Associates Degree,1
1152,Julie,Oneal,49,HR,HR Manager,85370.0,2020-07-01,2021-07-29,4.0,20.0,High School Diploma,5
1153,Jacob,Gonzalez,58,HR,Marketing Specialist,78396.0,2023-06-12,2022-12-14,3.0,19.0,Master,1
1154,Jennifer,Koch,57,IT,Software Engineer,45256.0,2022-12-20,2021-09-29,4.0,6.0,No Diploma,1
1155,Christopher,Kelly,54,IT,Software Engineer,86799.0,2023-03-08,2022-01-03,3.0,1.0,PhD,2
1156,Olivia,Johnson,26,IT,Sales Executive,66674.0,2022-07-24,,2.0,19.0,Master,5
1157,Denise,Woods,47,IT,Software Engineer,88353.0,2019-09-16,2023-07-11,4.0,18.0,No Diploma,3
1158,James,,55,Sales,HR Manager,42752.0,2020-11-02,2022-01-04,1.0,,No Diploma,1
1159,Derrick,Miranda,28,Marketing,Software Engineer,71370.0,2019-01-09,,3.0,18.0,High School Diploma,3
1160,Cynthia,Barber,33,HR,Sales Executive,85773.0,2018-06-05,,2.0,5.0,PhD,2
1161,Rodney,Hansen,50,IT,Sales Executive,68410.0,2019-01-04,,1.0,10.0,Associates Degree,3
1162,Gary,Turner,60,Marketing,Data Analyst,89969.0,2021-01-09,,4.0,3.0,Associates Degree,4
1163,Jillian,Hopkins,53,Sales,Data Analyst,63740.0,2022-09-24,,3.0,1.0,PhD,1
1164,Jennifer,Michael,37,IT,Marketing Specialist,51900.0,2022-08-17,,,16.0,Bachelor,5
1165,Jessica,,34,Sales,Sales Executive,84713.0,2022-12-16,,,10.0,High School Diploma,3
1166,Marie,Tyler,26,Sales,Software Engineer,,2022-05-25,2023-07-29,3.0,8.0,PhD,2
1167,Garrett,Garner,47,HR,Software Engineer,64456.0,2018-12-22,2023-06-15,4.0,12.0,Associates Degree,4
1168,Jeffrey,Stevens,49,IT,Marketing Specialist,59468.0,2019-11-09,2021-07-05,5.0,12.0,No Diploma,3
1169,Rebecca,Cooley,26,Marketing,HR Manager,79161.0,2022-11-07,,3.0,,Bachelor,3
1170,Michael,,26,Sales,Marketing Specialist,45492.0,2020-08-19,,1.0,17.0,Bachelor,3
1171,Lori,,28,Marketing,Software Engineer,48176.0,2018-10-14,2021-09-05,5.0,9.0,Master,1
1172,Alexander,Guerra,34,HR,Sales Executive,41719.0,2021-10-09,2021-10-31,1.0,3.0,Associates Degree,4
1173,Ashley,Williams,36,Sales,Software Engineer,51915.0,2018-12-19,,1.0,0.0,Master,1
1174,John,Larson,50,IT,Marketing Specialist,,2023-01-26,,4.0,17.0,High School Diploma,3
1175,Ashley,,38,IT,Marketing Specialist,72705.0,2018-11-14,,5.0,15.0,Associates Degree,2
1176,Eric,,29,IT,Sales Executive,85490.0,2021-10-05,2023-03-01,3.0,2.0,High School Diploma,2
1177,Matthew,Clark,56,IT,Sales Executive,57832.0,2021-03-14,,1.0,18.0,No Diploma,2
1178,Joseph,Werner,33,IT,Sales Executive,61016.0,2018-12-10,,,,High School Diploma,2
1179,Randall,Gomez,27,IT,HR Manager,68895.0,2018-08-05,,4.0,0.0,Master,2
1180,Judy,Riley,31,IT,Software Engineer,61716.0,2021-02-04,2022-08-07,5.0,,No Diploma,5
1181,Evan,Kim,60,Sales,HR Manager,47589.0,2018-12-14,2022-08-18,3.0,8.0,Master,1
1182,Monica,Snyder,53,Marketing,Sales Executive,,2019-07-24,,1.0,12.0,Associates Degree,5
1183,Laura,,27,Marketing,Software Engineer,65607.0,2020-05-12,2022-06-22,4.0,12.0,Bachelor,1
1184,Adriana,Wallace,60,Sales,Marketing Specialist,61243.0,2022-11-01,,2.0,,Bachelor,1
1185,Natasha,Gibson,40,HR,Sales Executive,,2019-03-30,2023-05-20,4.0,9.0,High School Diploma,1
1186,Douglas,Davis,33,Marketing,Marketing Specialist,50269.0,2020-05-05,,1.0,9.0,Associates Degree,3
1187,Zachary,Love,29,HR,HR Manager,63817.0,2020-05-29,,4.0,,Associates Degree,3
1188,Tammy,Zavala,58,Sales,HR Manager,73903.0,2021-12-14,2021-04-30,5.0,18.0,Bachelor,5
1189,Erik,Hebert,47,Sales,Software Engineer,79107.0,2023-04-07,2023-09-18,2.0,0.0,PhD,5
1190,Scott,Buck,58,Marketing,HR Manager,42077.0,2023-01-15,2021-08-13,5.0,9.0,Associates Degree,3
1191,Janet,Peterson,28,Sales,HR Manager,85983.0,2022-10-14,2021-02-25,4.0,,Associates Degree,1
1192,David,Ramos,48,Sales,HR Manager,,2019-08-17,,1.0,9.0,High School Diploma,4
1193,Daniel,Rhodes,29,HR,Marketing Specialist,83491.0,2020-10-19,,,11.0,Associates Degree,3
1194,Curtis,Simmons,51,Marketing,Data Analyst,86528.0,2020-05-16,,,11.0,High School Diploma,3
1195,Carl,Carter,41,Sales,Marketing Specialist,83032.0,2022-11-05,,5.0,15.0,PhD,2
1196,Cynthia,Carney,41,HR,HR Manager,46408.0,2019-10-20,,1.0,1.0,Master,1
1197,Austin,Foster,42,Marketing,Data Analyst,42170.0,2023-02-02,,5.0,10.0,No Diploma,3
1198,Connie,Palmer,30,HR,Sales Executive,,2023-02-10,,1.0,7.0,PhD,3
1199,Justin,,34,IT,Software Engineer,48428.0,2018-10-26,2021-11-04,1.0,15.0,Bachelor,2
1200,Ryan,Lee,33,Sales,HR Manager,40431.0,2020-01-28,2021-09-21,1.0,4.0,Bachelor,2
1201,Jacob,,37,Marketing,Software Engineer,44551.0,2021-07-23,2022-09-09,5.0,5.0,High School Diploma,2
1202,Brenda,Chang,44,IT,Software Engineer,42801.0,2021-03-26,,5.0,20.0,Master,5
1203,Kimberly,Ballard,53,Marketing,Software Engineer,46876.0,2019-05-05,,3.0,20.0,No Diploma,5
1204,Eric,Morrison,43,IT,Data Analyst,68217.0,2020-12-28,2022-04-22,,8.0,PhD,3
1205,Courtney,Burton,39,HR,Marketing Specialist,79219.0,2021-01-06,2022-01-07,4.0,16.0,Associates Degree,2
1206,Kevin,Greene,34,Sales,Data Analyst,41829.0,2023-04-07,2022-10-18,3.0,10.0,Associates Degree,2
1207,Gabriella,Juarez,46,Sales,Sales Executive,77367.0,2019-02-23,,,17.0,Associates Degree,1
1208,William,Young,53,Marketing,Marketing Specialist,75135.0,2020-10-28,2021-05-14,3.0,5.0,Associates Degree,2
1209,Makayla,,55,HR,Software Engineer,42638.0,2021-12-26,2023-01-29,5.0,2.0,Associates Degree,4
1210,Kenneth,Kirby,43,HR,Marketing Specialist,57850.0,2019-10-31,2021-02-19,5.0,16.0,Associates Degree,4
1211,Michelle,Phillips,31,Sales,HR Manager,58782.0,2021-04-23,,2.0,1.0,Bachelor,4
1212,Christopher,,50,Sales,Software Engineer,59346.0,2020-10-07,,2.0,13.0,Master,2
1213,Matthew,Hinton,25,HR,Data Analyst,,2021-09-14,,1.0,15.0,Master,3
1214,Donald,Scott,42,Marketing,Software Engineer,44915.0,2019-02-27,2023-03-25,3.0,20.0,Associates Degree,5
1215,Frank,Smith,48,HR,Sales Executive,45596.0,2019-10-03,,4.0,8.0,Associates Degree,5
1216,Jennifer,Lang,25,Sales,Marketing Specialist,45985.0,2023-03-18,,4.0,15.0,PhD,3
1217,William,Lowe,59,HR,Software Engineer,,2021-05-29,,5.0,13.0,Associates Degree,5
1218,Theresa,Cardenas,51,Sales,Data Analyst,88594.0,2021-08-03,2021-07-05,2.0,8.0,PhD,4
1219,David,Terrell,29,IT,Software Engineer,78281.0,2019-11-22,,1.0,8.0,Master,5
1220,James,Christian,32,Marketing,HR Manager,50915.0,2019-07-02,2021-12-17,4.0,20.0,Bachelor,2
1221,Nathan,Wyatt,47,Marketing,Sales Executive,43384.0,2022-01-17,2022-09-06,4.0,20.0,No Diploma,3
1222,Michael,Rivas,27,IT,Software Engineer,85171.0,2021-07-21,2021-11-17,3.0,12.0,No Diploma,1
1223,Mary,Stone,32,Marketing,HR Manager,,2022-08-07,2022-06-26,3.0,12.0,PhD,2
1224,Amanda,Mendez,50,Marketing,Data Analyst,74251.0,2020-05-21,2023-02-27,1.0,9.0,No Diploma,4
1225,Nicole,Davis,45,Sales,Sales Executive,60882.0,2022-07-20,2021-06-12,1.0,5.0,PhD,2
1226,Kim,Howell,38,IT,Data Analyst,63857.0,2021-05-16,,3.0,5.0,PhD,5
1227,Angela,Schultz,53,Sales,Data Analyst,,2020-03-10,,2.0,,Master,1
1228,Christine,Williams,48,HR,HR Manager,81975.0,2019-10-09,,1.0,7.0,PhD,5
1229,William,Hayes,25,Marketing,Data Analyst,44348.0,2021-08-15,2023-03-10,3.0,0.0,Bachelor,5
1230,Kevin,Holmes,41,Marketing,Software Engineer,,2020-11-22,2021-06-06,1.0,7.0,High School Diploma,1
1231,Melinda,Padilla,52,Marketing,Sales Executive,63789.0,2019-09-08,2022-01-02,1.0,,Associates Degree,4
1232,Maria,Carpenter,47,IT,Marketing Specialist,,2019-08-04,,2.0,4.0,Associates Degree,5
1233,George,Hale,27,IT,HR Manager,67565.0,2022-11-22,2021-04-16,1.0,20.0,PhD,4
1234,Veronica,Fowler,39,Sales,Data Analyst,46901.0,2021-10-20,,3.0,0.0,Master,5
1235,Shane,Jacobson,54,Sales,HR Manager,44778.0,2023-03-22,2021-07-31,3.0,,Bachelor,5
1236,Mary,Nunez,49,Marketing,Sales Executive,,2020-04-17,2021-03-02,1.0,14.0,High School Diploma,2
1237,Jacob,Kim,49,Sales,HR Manager,47650.0,2022-01-06,2022-02-26,4.0,18.0,PhD,2
1238,Leslie,Morrison,57,Sales,Software Engineer,66195.0,2020-07-14,2021-06-11,1.0,7.0,No Diploma,2
1239,Philip,Bennett,32,Sales,Marketing Specialist,50214.0,2022-11-06,,4.0,9.0,PhD,2
1240,Jennifer,Norton,54,Marketing,Sales Executive,55623.0,2020-09-15,2023-01-10,,2.0,Bachelor,3
1241,David,Thomas,56,Marketing,Software Engineer,50938.0,2022-08-02,2022-07-05,1.0,13.0,Master,4
1242,Dean,Carr,44,HR,Marketing Specialist,70313.0,2023-06-15,,3.0,5.0,No Diploma,4
1243,Donald,Warner,32,HR,Sales Executive,88075.0,2022-04-15,,5.0,16.0,Associates Degree,3
1244,William,Gonzalez,42,Sales,Sales Executive,57457.0,2018-10-27,2022-04-08,1.0,17.0,Associates Degree,5
1245,Elizabeth,Mcdaniel,59,Sales,Software Engineer,58929.0,2020-05-03,,4.0,19.0,Master,1
1246,Vanessa,Mitchell,40,Marketing,Software Engineer,71921.0,2019-08-18,,2.0,,PhD,3
1247,Kevin,Atkinson,58,Sales,Marketing Specialist,82007.0,2021-05-27,,5.0,1.0,High School Diploma,1
1248,Theresa,Johnson,36,Marketing,HR Manager,,2023-03-30,,5.0,19.0,No Diploma,1
1249,Kelsey,Nixon,58,Sales,Data Analyst,83077.0,2023-05-24,,3.0,4.0,No Diploma,2
1250,Dominique,Davis,60,Sales,Software Engineer,50484.0,2021-02-28,,5.0,3.0,Bachelor,4
1251,Brandon,Flynn,56,HR,Software Engineer,80278.0,2019-06-09,,5.0,16.0,Master,2
